date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2015-01-20,10:30:00,Tuesday,Buy,1291.3,1275.73,15.6,16.19,1.04,25,Stop Loss,15
2025-04-08,05:30:00,Tuesday,Buy,3005.79,2990.59,15.2,16.77,1.1,3,Stop Loss,15
2020-05-15,18:30:00,Friday,Buy,1748.32,1733.3,15.0,16.98,1.13,5,Stop Loss,15
2025-05-28,05:30:00,Wednesday,Buy,3307.33,3291.4,15.9,18.05,1.13,3,Stop Loss,15
2021-01-29,10:30:00,Friday,Buy,1857.66,1841.88,15.8,17.83,1.13,3,Stop Loss,15
2020-10-20,17:30:00,Tuesday,Buy,1913.11,1897.26,15.8,18.18,1.15,12,Stop Loss,15
2022-09-07,18:30:00,Wednesday,Buy,1717.05,1701.95,15.1,17.98,1.19,23,Stop Loss,15
2021-03-02,06:30:00,Tuesday,Buy,1721.94,1706.91,15.0,18.49,1.23,9,Stop Loss,15
2021-07-13,14:30:00,Tuesday,Buy,1813.98,1798.36,15.6,20.06,1.28,24,Stop Loss,15
2024-04-25,17:30:00,Thursday,Buy,2332.32,2316.66,15.7,20.19,1.29,16,Stop Loss,15
2011-09-22,17:30:00,Thursday,Buy,1735.6,1720.45,15.2,19.65,1.3,3,Stop Loss,15
2014-01-23,14:30:00,Thursday,Buy,1259.29,1244.32,15.0,19.81,1.32,30,Stop Loss,15
2025-04-24,21:30:00,Thursday,Buy,3348.85,3333.18,15.7,21.44,1.37,2,Stop Loss,15
2023-10-26,17:30:00,Thursday,Buy,1987.06,1971.43,15.6,22.29,1.43,25,Stop Loss,15
2011-05-12,14:30:00,Thursday,Buy,1493.26,1477.8,15.5,23.29,1.51,18,Stop Loss,15
2013-04-05,14:30:00,Friday,Buy,1566.43,1550.69,15.7,23.86,1.52,29,Stop Loss,15
2024-03-08,14:30:00,Friday,Buy,2171.01,2155.8,15.2,24.07,1.58,13,Stop Loss,15
2024-08-12,13:30:00,Monday,Buy,2454.34,2439.36,15.0,25.66,1.71,13,Stop Loss,15
2025-06-23,09:30:00,Monday,Buy,3366.62,3351.25,15.4,26.78,1.74,4,Stop Loss,15
2020-04-22,14:30:00,Wednesday,Buy,1708.56,1692.96,15.6,30.03,1.93,22,Stop Loss,15
2024-10-29,13:30:00,Tuesday,Buy,2760.9,2745.92,15.0,29.18,1.95,13,Stop Loss,15
2012-06-12,14:30:00,Tuesday,Buy,1603.09,1587.48,15.6,30.71,1.97,42,Stop Loss,15
2024-04-02,17:30:00,Tuesday,Buy,2266.02,2250.46,15.6,1565.29,100.6,2312,End of Data,15
2024-03-06,18:30:00,Wednesday,Buy,2147.31,2131.45,15.9,1684.0,106.18,2420,End of Data,15
2025-09-19,09:30:00,Friday,Buy,3658.68,3643.07,15.6,172.63,11.06,37,End of Data,15
2020-07-24,14:30:00,Friday,Buy,1902.05,1886.85,15.2,172.93,11.38,76,Stop Loss,15
2013-07-09,02:30:00,Tuesday,Buy,1248.6,1233.27,15.3,185.01,12.07,594,Stop Loss,15
2012-01-03,06:30:00,Tuesday,Buy,1589.75,1574.0,15.8,200.8,12.75,558,Stop Loss,15
2025-05-02,21:30:00,Friday,Buy,3239.47,3224.17,15.3,195.58,12.78,33,Stop Loss,15
2022-11-30,18:30:00,Wednesday,Buy,1760.51,1744.56,15.9,2070.8,129.83,4367,End of Data,15
2011-12-30,10:30:00,Friday,Buy,1572.1,1556.48,15.6,218.45,13.99,571,Stop Loss,15
